Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,308.5,308.5,309.3,308.2,309.5,310.2,309.6,310.8,310.1,310.0,311.1,310.4
2015,312.4,311.8,312.1,312.0,313.3,312.8,311.6,311.9,312.2,313.0,312.9,312.3
2016,312.4,312.5,312.5,312.1,313.5,312.8,314.6,313.3,314.5,313.9,313.7,313.8
2017,314.9,313.1,314.3,315.0,314.9,316.7,314.9,315.5,315.3,315.1,315.7,316.5
2018,314.0,315.7,315.8,315.1,315.3,315.7,317.5,317.1,316.2,316.5,316.8,316.8
2019,316.3,316.8,318.8,316.6,316.3,317.2,315.5,315.6,315.8,315.5,315.9,316.0
2020,316.2,315.8,312.8,248.6,262.8,273.3,278.0,283.4,289.1,290.1,289.1,285.5
2021,286.2,287.6,289.2,293.1,294.5,295.0,298.1,297.7,296.9,299.4,299.3,300.0
2022,300.3,301.4,302.6,303.9,303.5,304.0,306.6,305.8,305.4,305.8,307.1,305.5
2023,309.4,309.4,309.7,309.3,308.9,311.4,309.3,309.4,310.1,309.0,309.8,309.6
2024,312.2,312.9,313.7,314.9,314.7,314.0(P),,,,,,
