Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,711.4,708.8,709.5,710.7,711.2,711.0,711.3,712.7,713.7,711.3,711.4,711.9
2015,711.5,713.1,710.0,711.3,711.8,712.1,711.0,711.7,711.2,714.4,714.0,714.0
2016,711.8,713.6,715.4,715.0,714.3,714.2,715.6,715.5,715.5,716.1,717.0,716.6
2017,715.6,716.1,715.5,717.4,717.1,717.8,718.1,716.5,718.5,717.7,717.6,718.3
2018,720.7,720.4,721.6,721.4,723.5,724.5,726.2,722.0,723.7,724.2,725.2,725.5
2019,726.5,728.6,727.9,731.1,730.9,730.8,735.4,733.8,732.7,736.9,734.7,735.3
2020,738.9,738.8,740.7,713.8,700.3,695.4,686.5,713.0,705.6,703.8,702.7,703.1
2021,703.7,703.0,704.9,707.2,707.6,707.7,707.5,713.7,710.1,711.7,707.8,714.3
2022,711.8,713.8,713.7,714.2,715.0,710.8,713.8,718.9,720.5,721.4,723.7,722.6
2023,724.5,729.5,730.4,730.5,731.8,732.9,734.0,735.4,737.5,738.8,740.2,737.0
2024,741.0,743.5,748.8,747.6,752.1,755.5(P),,,,,,
