Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,72.5,71.3,71.2,71.5,71.9,71.3,71.1,71.2,71.1,70.9,70.3,70.2
2015,70.1,69.9,69.6,69.5,69.7,69.7,69.9,69.5,69.6,69.3,69.6,69.3
2016,68.6,69.1,68.4,68.6,65.8,68.4,68.6,68.5,68.5,68.1,68.0,67.6
2017,68.5,68.3,68.6,68.2,67.9,67.8,67.6,67.5,67.7,68.0,68.0,68.2
2018,68.0,68.0,67.7,68.1,68.1,68.0,67.8,67.2,67.2,67.5,67.0,67.0
2019,67.3,67.4,67.6,67.6,67.6,68.1,68.0,67.9,68.0,68.0,68.1,68.3
2020,68.4,68.4,68.6,64.0,63.9,63.8,63.7,64.2,65.2,64.8,65.0,65.1
2021,65.1,65.3,65.5,65.7,66.3,66.6,66.9,67.5,67.4,68.0,68.0,68.4
2022,68.7,69.0,69.0,69.2,69.5,69.6,70.4,70.8,70.8,70.7,71.0,70.8
2023,71.3,70.9,70.9,71.0,70.8,70.5,70.0,70.3,70.3,69.2,69.3,69.7
2024,69.4,69.5,69.7,69.9,70.6,71.7(P),,,,,,
