Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,370.4,369.4,370.2,372.2,374.4,375.1,373.2,373.5,374.4,375.1,375.4,376.4
2015,380.0,380.1,378.5,382.3,384.8,386.5,390.0,391.9,394.6,394.6,396.2,397.5
2016,396.0,397.7,399.9,400.8,400.2,401.0,401.8,402.8,404.8,403.2,404.6,404.4
2017,402.5,406.9,406.9,407.4,405.9,406.2,405.6,406.6,406.9,408.2,407.0,408.1
2018,410.3,410.7,410.7,410.3,411.6,411.7,409.9,410.8,408.4,411.1,412.2,412.7
2019,411.7,412.0,413.2,414.0,412.9,414.7,416.0,414.9,415.0,416.8,417.8,418.2
2020,420.7,420.3,405.9,218.1,228.8,263.7,298.7,311.0,329.2,332.6,336.1,333.8
2021,335.9,335.6,336.7,337.4,342.0,351.6,368.3,370.4,374.2,373.8,375.7,378.7
2022,374.0,381.1,381.8,385.7,385.8,388.6,396.1,397.4,399.6,397.1,399.3,400.9
2023,403.5,407.2,406.6,408.4,409.7,412.4,413.5,415.1,415.8,415.2,416.6,418.8
2024,416.0,414.2,415.3,414.3,414.8,414.8(P),,,,,,
