Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,9.7,9.8,9.8,9.8,9.7,9.7,9.5,9.4,9.4,9.3,9.3,9.2
2015,9.4,9.3,9.2,9.2,9.1,9.0,9.1,9.1,8.8,8.7,8.5,8.5
2016,8.0,8.0,7.9,7.7,7.7,7.7,7.8,7.7,7.7,7.9,7.9,8.0
2017,7.9,8.0,8.0,7.9,7.9,8.0,8.0,8.1,8.0,7.9,7.9,7.9
2018,7.8,7.9,8.0,7.9,7.9,8.0,7.9,7.9,7.9,7.9,7.8,7.9
2019,7.9,7.9,8.0,7.9,8.0,8.0,7.6,7.7,7.7,7.8,7.8,7.8
2020,7.7,7.6,7.6,6.7,6.8,6.8,6.7,6.8,6.8,6.9,7.0,7.0
2021,6.9,6.9,6.9,6.9,6.9,6.9,7.0,6.9,6.9,7.0,7.1,7.0
2022,7.0,7.0,7.1,7.1,7.1,7.1,7.2,7.2,7.3,7.2,7.3,7.3
2023,7.4,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.2
2024,7.2,7.3,7.2,7.3,7.3,7.3(P),,,,,,
