Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,493.4,492.9,493.8,497.6,498.3,498.9,498.6,499.2,499.8,499.9,499.7,500.6
2015,503.7,504.6,504.2,509.5,511.1,512.9,515.7,517.3,518.8,520.5,521.9,523.4
2016,523.3,523.4,524.3,526.4,526.5,527.2,525.0,528.3,528.3,527.9,529.4,529.7
2017,531.6,532.9,534.0,532.8,535.9,535.2,536.5,535.8,536.3,538.4,536.2,540.8
2018,543.9,542.9,544.1,545.9,543.6,546.3,548.6,547.0,547.0,548.7,549.1,548.5
2019,549.0,551.4,553.0,551.7,552.2,554.1,551.7,553.1,556.4,555.2,555.5,557.8
2020,556.5,557.3,554.9,492.1,501.8,511.0,517.4,522.3,525.5,528.5,531.3,532.3
2021,533.0,532.5,534.3,536.3,536.8,535.2,541.4,540.5,535.8,541.9,543.2,542.1
2022,543.0,545.4,545.2,555.0,556.1,555.4,556.8,559.2,561.9,562.4,564.7,566.1
2023,572.1,574.2,575.9,576.6,579.8,581.6,583.5,585.2,588.1,588.4,589.8,594.1
2024,596.3,598.8,599.6,605.7,607.1,610.0(P),,,,,,
