Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,545.6,546.3,547.7,548.3,548.2,549.2,551.0,552.5,554.3,554.3,553.3,555.2
2015,556.3,557.3,559.4,560.4,560.3,561.2,562.9,564.6,566.5,563.5,564.8,566.0
2016,568.4,570.3,571.3,572.1,574.6,574.0,575.4,577.2,580.8,579.7,581.7,581.9
2017,580.6,582.4,583.9,584.5,585.7,586.1,589.2,584.6,586.0,588.8,588.9,589.4
2018,590.0,590.3,590.2,590.2,589.5,588.2,585.0,583.5,586.1,587.3,584.8,584.5
2019,586.8,586.5,586.7,586.8,587.8,587.2,586.3,586.3,587.2,588.8,590.0,591.1
2020,593.5,595.8,595.2,562.6,539.9,543.8,549.7,567.6,560.0,545.8,543.6,545.7
2021,546.8,548.8,552.2,557.7,556.8,557.8,562.3,567.5,569.4,563.9,565.7,565.0
2022,559.1,559.9,560.9,560.0,559.9,558.6,568.9,572.5,572.0,572.4,572.3,575.0
2023,576.2,578.1,578.7,586.0,587.2,590.6,588.0,588.4,588.0,591.1,592.7,594.4
2024,596.8,599.4,602.4,602.2,603.7,604.2(P),,,,,,
