Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,107.7,107.8,108.3,108.8,109.2,110.0,110.5,110.9,111.4,110.7,110.8,110.7
2015,111.2,111.8,112.3,112.5,113.2,113.6,114.4,115.1,115.8,116.6,117.2,117.8
2016,118.2,118.8,119.5,120.1,120.6,121.1,121.6,122.1,122.7,123.0,123.6,124.1
2017,124.5,124.7,125.2,125.1,125.7,126.1,126.2,126.7,127.2,127.7,127.8,128.6
2018,129.0,129.9,130.6,131.8,132.3,134.1,135.1,135.6,136.4,137.5,138.2,138.8
2019,140.0,140.9,142.0,142.2,143.4,145.2,146.0,146.6,146.4,146.2,147.4,148.7
2020,149.1,149.4,150.2,147.4,147.5,147.1,146.8,147.7,149.4,150.8,150.9,151.4
2021,152.2,152.8,153.6,154.3,155.1,155.9,156.3,157.1,159.8,162.2,163.0,163.9
2022,164.8,166.0,167.1,168.6,170.3,172.1,174.0,174.9,174.4,174.3,174.2,174.3
2023,174.3,174.0,173.2,172.2,170.6,169.1,167.8,166.6,165.7,166.7,165.7,165.5
2024,165.1,164.7,163.6,163.9,164.5,164.3(P),,,,,,
