Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,288.3,288.2,288.0,288.7,288.7,289.2,289.9,289.7,289.6,290.1,290.4,291.3
2015,291.4,291.3,292.3,290.6,290.8,292.4,292.7,293.2,293.4,293.4,293.2,293.1
2016,292.8,292.8,292.2,292.4,292.0,290.7,290.7,289.5,288.5,287.8,287.1,286.5
2017,286.4,285.9,285.4,286.0,284.6,285.4,283.1,283.0,282.6,282.3,282.4,283.2
2018,283.5,284.6,285.2,285.4,286.5,287.2,288.1,288.4,289.4,291.1,292.4,292.5
2019,293.2,292.6,293.5,293.3,294.1,294.8,294.6,294.7,294.4,293.8,293.2,293.3
2020,292.2,292.5,289.5,269.8,267.0,271.5,266.6,264.7,263.3,261.8,260.5,259.8
2021,259.1,257.7,258.7,258.1,258.7,258.3,258.9,259.4,260.2,261.9,263.4,264.3
2022,263.9,265.6,266.3,266.7,267.0,266.4,269.9,271.2,271.7,271.6,272.3,272.1
2023,272.6,272.6,272.5,273.3,274.1,275.1,273.9,274.9,275.8,275.4,277.6,279.1
2024,279.2,280.9,280.4,280.4,280.3,279.2(P),,,,,,
