Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,6.2,6.3,6.4,6.2,6.2,6.1,6.2,6.3,6.2,6.2,6.3,6.3
2015,6.5,6.4,6.5,6.4,6.4,6.3,6.2,6.2,6.1,6.4,6.3,6.3
2016,6.3,6.3,6.2,6.3,6.3,6.2,6.3,6.3,6.3,6.3,6.3,6.2
2017,6.1,6.2,6.1,6.2,6.2,6.3,6.2,6.2,6.2,6.2,6.2,6.3
2018,6.3,6.3,6.3,6.4,6.3,6.4,6.3,6.3,6.3,6.2,6.2,6.2
2019,6.2,6.0,6.0,5.9,6.0,5.9,5.9,5.7,5.8,5.7,5.7,5.7
2020,5.7,5.6,5.7,5.3,5.5,5.5,5.5,5.5,5.6,5.7,5.7,5.7
2021,5.7,5.6,5.7,5.8,5.7,5.7,5.7,5.6,5.7,5.7,5.7,5.6
2022,5.6,5.5,5.6,5.5,5.5,5.5,5.5,5.5,5.6,5.5,5.6,5.5
2023,5.5,5.4,5.5,5.4,5.4,5.4,5.6,5.6,5.7,5.6,5.7,5.7
2024,5.6,5.7,5.7,5.7,5.6,5.6(P),,,,,,
