Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,113.0,113.0,113.3,112.9,112.9,113.5,114.1,114.2,114.3,114.2,114.4,114.9
2015,114.3,114.5,114.8,114.7,114.8,115.0,115.1,115.1,115.1,115.3,115.3,115.3
2016,116.0,116.3,116.6,117.3,117.6,117.5,117.4,117.8,118.0,117.8,118.5,118.7
2017,118.8,119.4,119.5,119.7,119.7,120.2,119.7,119.5,119.6,120.1,120.1,120.5
2018,120.8,121.1,121.2,121.1,121.7,122.0,122.7,123.0,123.2,122.8,123.3,123.7
2019,127.5,126.3,127.6,128.6,129.0,129.3,129.0,129.1,128.8,129.9,130.8,131.9
2020,132.5,132.9,131.4,107.5,105.3,109.0,111.6,112.5,113.1,113.1,112.8,112.1
2021,111.1,111.0,110.9,111.5,112.0,113.1,113.8,114.6,115.0,116.5,117.3,117.5
2022,118.1,118.7,119.2,118.9,119.1,119.3,120.3,120.6,121.2,121.2,121.4,122.1
2023,122.7,122.8,123.2,123.7,123.7,123.3,122.6,122.8,122.5,125.2,124.9,124.9
2024,125.8,125.7,124.2,125.7,127.1,128.5(P),,,,,,
