Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,443.3,443.6,443.1,443.0,443.2,443.5,445.5,445.3,445.6,443.4,444.0,445.0
2015,445.5,445.1,445.4,446.1,446.7,450.0,448.7,448.7,449.9,450.9,452.1,453.0
2016,456.2,457.2,459.1,461.0,462.5,463.3,463.9,465.3,466.6,466.4,467.5,467.8
2017,468.2,469.5,470.7,471.9,472.9,474.8,475.9,477.5,478.9,480.7,482.3,483.8
2018,485.6,487.7,488.5,487.6,488.8,488.7,489.7,490.6,491.1,494.0,494.9,495.8
2019,497.5,495.9,499.5,500.5,500.9,501.1,503.8,504.2,503.9,505.6,506.2,508.4
2020,508.6,508.9,506.6,462.3,463.4,479.0,485.2,486.2,490.4,491.5,493.5,494.6
2021,494.7,495.9,498.6,499.6,500.9,503.9,503.5,504.8,503.6,506.9,507.0,507.6
2022,506.4,507.9,510.7,512.5,512.8,514.0,515.3,518.6,517.6,518.5,519.9,520.2
2023,523.6,526.1,525.5,528.0,529.8,530.3,533.1,535.2,538.8,544.0,545.2,546.8
2024,548.1,549.3,551.5,553.4,556.2,555.8(P),,,,,,
