Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,24.8,24.7,24.7,24.6,24.6,24.6,24.6,24.5,24.5,24.3,24.4,24.4
2015,24.3,24.2,24.3,24.3,24.2,24.3,24.4,24.3,24.2,24.2,24.2,24.1
2016,24.1,24.2,24.2,23.8,23.8,23.7,23.8,23.7,23.7,23.5,23.6,23.6
2017,23.5,23.5,23.5,23.6,23.6,23.6,23.4,23.4,23.4,23.3,23.0,23.3
2018,23.8,23.9,23.8,23.7,23.8,23.9,23.8,23.8,23.8,23.9,24.0,23.9
2019,23.7,23.8,23.8,23.8,23.9,23.9,23.9,24.1,24.1,24.2,24.1,24.0
2020,24.1,24.1,24.0,22.9,23.2,23.5,23.6,23.7,24.0,23.9,24.0,24.0
2021,24.1,24.1,24.4,24.4,24.4,24.5,24.8,24.8,24.6,25.0,25.0,25.2
2022,25.1,25.2,25.3,25.5,25.4,25.5,25.3,25.4,25.3,25.5,25.4,25.4
2023,25.3,25.5,25.4,25.7,25.5,25.6,25.8,25.8,25.9,26.1,26.4,26.4
2024,26.5,26.3,26.0,26.1,26.0,25.9(P),,,,,,
