Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,9.7,9.7,9.7,9.7,9.6,9.6,9.6,9.6,9.6,9.5,9.5,9.6
2015,9.7,9.7,9.7,9.8,9.8,9.7,9.6,9.7,9.6,9.7,9.6,9.6
2016,9.6,9.6,9.6,9.6,9.5,9.5,9.5,9.5,9.5,9.4,9.5,9.3
2017,9.2,9.0,8.9,8.8,8.7,8.7,8.6,8.5,8.5,8.4,8.3,8.3
2018,8.4,8.4,7.4,8.4,8.4,8.4,8.2,8.2,8.2,8.3,8.2,8.3
2019,8.2,8.1,8.1,8.1,8.1,8.0,8.0,8.0,8.0,8.1,8.0,8.1
2020,8.0,7.9,7.9,7.0,6.9,7.0,7.0,6.9,7.1,7.0,6.9,6.9
2021,6.9,6.9,7.0,7.0,7.1,7.1,7.3,7.3,7.4,7.4,7.5,7.6
2022,7.5,7.7,7.8,7.8,7.8,7.7,7.9,7.9,8.0,8.0,8.0,8.0
2023,8.0,8.0,7.9,7.9,7.8,7.9,7.8,7.7,7.8,7.7,7.9,7.9
2024,7.9,7.8,7.8,7.7,7.7,7.6(P),,,,,,
