Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,123.3,123.1,123.4,123.6,123.7,123.8,123.7,123.8,123.9,123.8,123.8,124.0
2015,125.8,125.8,125.4,125.6,125.8,124.8,124.4,124.8,125.4,126.2,126.4,126.8
2016,126.2,125.8,126.2,126.8,126.9,125.1,125.0,125.4,127.0,126.9,127.2,127.3
2017,127.7,127.5,127.5,127.4,127.3,127.1,127.8,127.9,127.2,127.8,127.7,127.8
2018,127.8,127.9,128.3,127.9,128.3,128.4,128.2,128.5,128.2,128.3,128.2,128.3
2019,128.6,128.7,129.1,129.8,130.0,130.1,130.6,130.8,131.3,130.8,132.0,132.4
2020,133.1,133.7,133.0,120.3,122.1,124.9,126.2,127.0,127.2,127.9,128.4,128.3
2021,128.3,128.2,128.5,126.9,126.8,126.4,126.6,126.8,125.7,127.0,126.6,127.2
2022,127.0,127.3,127.3,127.3,127.6,127.6,128.6,128.8,129.6,129.3,129.7,130.1
2023,130.8,131.2,131.9,132.2,132.7,133.6,133.1,133.3,133.7,134.7,135.7,136.4
2024,136.3,137.0,137.3,138.3,139.1,140.5(P),,,,,,
