Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,64.9,65.1,65.2,66.1,66.6,67.0,67.2,67.4,67.7,68.2,68.5,69.0
2015,68.3,67.8,67.2,66.7,66.8,66.9,66.8,67.1,66.7,66.6,66.8,66.8
2016,65.7,65.7,66.0,65.9,65.3,65.1,66.0,65.7,65.6,66.2,66.0,66.0
2017,66.1,66.4,66.7,66.3,66.7,66.8,66.6,66.6,67.1,67.1,67.5,67.6
2018,67.6,68.1,68.7,68.8,69.2,69.3,69.2,69.3,69.2,69.2,69.3,68.9
2019,68.8,69.1,69.2,69.5,69.5,69.7,70.0,70.0,69.7,69.0,67.9,68.1
2020,68.6,68.8,68.4,62.4,63.2,64.4,64.3,64.7,64.9,66.1,66.5,66.9
2021,67.0,67.0,67.5,67.6,67.6,67.4,68.1,68.4,68.2,69.6,70.6,71.0
2022,71.0,71.5,71.7,72.4,72.4,72.0,72.5,72.9,72.9,72.3,72.0,72.4
2023,72.6,72.6,72.8,72.7,72.9,73.5,73.1,73.0,73.1,73.0,73.4,73.6
2024,74.3,73.7,73.5,72.9,72.8,72.9(P),,,,,,
