Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,135.5,135.3,134.9,135.3,135.3,135.3,134.9,135.2,134.8,135.8,135.9,135.8
2015,135.4,135.3,135.2,135.2,135.8,135.8,135.7,135.2,135.2,135.3,134.9,134.9
2016,134.1,134.1,134.5,134.6,134.0,133.5,133.5,133.6,133.7,132.9,132.6,132.6
2017,132.4,131.8,131.5,131.2,130.9,130.9,130.8,130.9,131.1,132.0,131.4,130.2
2018,131.9,131.2,130.8,130.1,130.4,130.3,129.9,129.8,129.5,129.7,129.8,129.7
2019,129.1,128.6,128.4,128.0,127.4,126.7,126.9,126.7,126.6,127.2,127.2,126.8
2020,126.3,124.8,124.3,110.5,114.3,119.6,119.6,120.7,120.8,121.2,121.1,120.8
2021,121.3,121.7,122.5,122.3,122.6,122.8,123.5,123.9,123.1,124.0,123.8,123.7
2022,123.1,123.7,123.6,123.5,122.7,121.6,122.4,122.2,122.0,121.5,121.1,121.5
2023,122.8,123.1,122.8,123.4,123.3,123.2,122.7,122.7,122.7,122.6,122.7,122.4
2024,121.8,121.9,121.7,121.7,121.2,120.6(P),,,,,,
