Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,100.4,100.9,101.1,99.8,102.4,103.7,104.2,105.2,105.9,106.2,106.6,107.0
2015,107.6,107.5,107.4,108.6,109.9,109.5,109.8,109.7,109.8,110.2,110.7,111.6
2016,111.5,112.0,112.4,112.5,111.7,111.3,112.2,112.8,113.2,113.8,114.4,114.1
2017,114.7,116.0,116.1,116.3,116.8,117.2,118.1,118.0,118.3,118.5,119.2,119.7
2018,120.6,121.1,122.6,120.5,121.9,123.3,122.7,123.2,123.3,122.8,123.0,123.4
2019,124.0,123.3,123.4,123.6,124.1,124.3,124.7,124.9,125.5,125.8,125.0,126.0
2020,126.5,126.7,126.6,116.5,122.3,122.3,122.7,123.8,123.7,124.7,125.1,126.3
2021,125.3,120.5,125.2,126.9,127.6,126.9,127.4,127.6,128.0,128.9,129.4,130.1
2022,128.8,130.2,130.4,129.3,131.0,131.4,132.6,133.2,134.3,134.2,134.4,134.8
2023,135.8,136.2,136.6,136.7,136.3,136.5,136.4,136.7,136.9,136.1,137.5,138.1
2024,140.4,140.8,142.3,140.9,140.1,141.0(P),,,,,,
