Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,411.6,409.5,409.9,409.8,410.0,411.3,410.9,416.9,414.3,412.5,418.0,411.6
2015,410.9,412.6,411.5,412.7,410.8,411.3,410.8,410.6,410.8,409.9,406.0,410.8
2016,412.0,413.2,411.8,414.9,410.4,412.1,414.6,420.4,414.0,413.2,421.6,414.3
2017,412.3,411.7,408.8,412.1,413.4,410.3,412.1,411.2,411.7,411.9,408.7,408.7
2018,411.2,414.7,411.9,413.5,415.1,414.0,413.1,416.2,412.7,412.7,415.4,413.7
2019,410.5,410.0,412.8,411.6,408.9,411.3,410.4,405.2,405.0,410.7,410.5,413.6
2020,410.9,413.8,412.9,374.3,366.4,359.9,375.6,390.2,388.0,386.1,386.1,383.8
2021,388.2,386.2,387.1,388.5,390.9,390.3,395.0,390.3,392.9,392.5,388.1,391.2
2022,393.3,391.0,392.5,392.8,393.8,394.0,397.8,402.3,398.6,398.2,401.4,399.2
2023,397.7,402.7,402.6,404.2,403.5,403.2,401.6,400.2,405.6,405.1,404.4,405.5
2024,406.2,409.8,411.5,410.9,406.3,409.0(P),,,,,,
