Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,47.5,47.7,47.6,47.7,47.9,47.8,48.0,48.1,48.0,48.4,48.4,48.4
2015,48.6,48.5,48.4,48.4,48.6,48.5,49.3,49.5,49.4,49.3,49.4,49.3
2016,49.1,49.3,49.4,49.5,49.4,49.2,49.1,49.3,48.9,48.6,48.6,48.6
2017,48.7,48.7,48.6,48.2,48.2,48.1,47.8,47.4,47.6,46.9,47.1,47.2
2018,47.3,47.2,47.2,47.4,47.2,47.0,47.2,47.1,47.2,47.2,47.1,47.2
2019,47.2,47.0,47.1,47.0,47.0,47.4,47.1,46.9,47.1,47.1,47.1,47.2
2020,47.1,47.1,47.2,43.9,43.9,44.0,44.0,44.1,45.1,44.4,44.4,44.4
2021,45.0,44.9,45.0,45.0,45.1,45.0,45.0,45.2,45.0,45.2,45.2,45.3
2022,45.5,45.6,45.8,45.9,46.2,46.3,46.7,46.9,47.1,47.1,47.1,47.0
2023,47.1,47.2,47.3,47.5,47.4,47.5,47.3,47.4,47.6,47.7,48.0,47.5
2024,47.8,47.8,47.9,47.6,47.1,46.8(P),,,,,,
