Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,462.9,463.3,464.0,465.8,466.9,466.5,468.7,469.3,469.6,469.9,470.3,471.1
2015,470.4,471.0,471.0,470.0,469.9,469.7,470.0,469.9,470.2,469.5,469.4,469.4
2016,468.8,468.0,468.0,468.1,467.7,467.5,467.4,467.2,467.4,467.4,467.4,467.6
2017,467.7,468.1,469.6,469.8,469.7,471.1,470.2,470.6,470.9,471.9,472.7,473.6
2018,474.7,475.9,476.5,476.9,478.1,479.2,480.1,481.0,481.6,482.6,483.7,484.3
2019,485.0,484.5,484.5,484.5,484.8,484.9,484.5,483.4,482.6,481.7,480.6,479.5
2020,478.7,478.2,477.3,439.7,446.4,451.3,450.6,452.7,456.9,457.9,458.8,461.4
2021,461.6,462.1,463.9,464.7,465.2,465.6,468.1,468.4,469.4,472.3,473.8,474.5
2022,474.4,478.0,479.0,480.9,481.6,481.1,483.6,484.3,484.3,484.2,483.9,483.2
2023,482.1,481.6,481.7,479.6,478.9,478.4,476.7,477.1,477.0,479.3,480.0,479.3
2024,479.7,481.6,479.0,481.3,480.9,481.4(P),,,,,,
