Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,306.7,306.7,306.1,304.5,306.8,307.0,307.1,308.7,309.2,311.3,312.3,310.6
2015,310.9,310.0,310.8,311.8,313.9,314.1,316.0,318.0,317.7,318.3,319.3,321.1
2016,323.4,322.9,322.2,323.9,322.1,321.2,322.8,322.6,323.6,322.7,322.6,322.2
2017,323.0,321.2,324.7,324.3,325.2,325.9,326.9,326.8,327.8,327.4,328.0,329.1
2018,329.6,329.9,329.9,329.2,329.3,329.2,328.6,328.6,327.6,327.5,327.2,324.9
2019,326.7,326.3,327.0,327.5,327.0,327.8,326.2,327.1,327.0,326.5,326.4,324.7
2020,325.7,323.0,320.8,291.6,294.0,298.7,303.5,307.5,309.9,313.2,314.0,316.7
2021,317.2,316.6,317.3,317.3,318.7,318.7,319.3,319.3,318.1,321.1,322.6,323.7
2022,324.4,326.7,329.5,327.2,328.0,330.1,330.9,330.6,331.3,330.5,330.2,330.9
2023,330.4,330.1,331.3,331.5,331.7,333.3,330.7,332.7,330.7,330.2,329.5,328.6
2024,328.7,326.3,326.0,327.3,328.6,332.7(P),,,,,,
