Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,2831.0,2833.0,2834.8,2837.3,2845.4,2850.9,2853.3,2865.5,2866.0,2867.5,2879.0,2874.0
2015,2874.9,2877.3,2881.1,2883.0,2890.1,2890.2,2895.4,2899.8,2903.1,2907.0,2905.8,2913.7
2016,2917.0,2921.9,2920.5,2932.5,2923.2,2920.7,2932.7,2939.1,2936.0,2935.3,2944.3,2933.0
2017,2940.2,2941.7,2946.4,2948.2,2951.3,2955.2,2953.7,2953.5,2957.4,2958.1,2959.6,2961.3
2018,2971.0,2978.0,2979.1,2973.0,2978.5,2982.2,2980.6,2985.7,2983.1,2983.7,2989.2,2987.7
2019,2989.2,2983.3,2988.0,2989.3,2988.2,2991.6,2987.9,2983.3,2981.6,2990.3,2991.0,2994.8
2020,2992.7,2992.7,2978.7,2586.7,2647.5,2730.9,2775.3,2811.8,2830.3,2839.8,2839.5,2846.7
2021,2856.7,2853.2,2867.0,2877.1,2885.1,2888.1,2905.6,2903.6,2903.7,2916.9,2919.5,2929.7
2022,2931.6,2945.7,2953.3,2955.5,2961.3,2962.5,2981.5,2990.8,2993.8,2993.8,2998.4,2999.1
2023,3001.7,3008.5,3011.7,3011.2,3008.7,3017.1,3009.4,3012.0,3014.0,3016.4,3020.1,3021.8
2024,3027.7,3036.1,3034.4,3038.9,3038.6,3048.0(P),,,,,,
