Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,22.9,23.1,22.9,22.9,23.9,24.9,24.4,23.9,24.2,24.1,23.5,23.7
2015,23.7,23.7,23.7,23.8,23.3,23.0,23.2,23.3,23.3,23.1,22.9,22.5
2016,22.1,21.9,22.0,22.2,21.7,21.1,21.1,21.0,20.5,20.4,20.4,20.1
2017,19.7,19.8,19.6,19.9,19.8,19.8,19.5,19.4,19.6,19.3,19.1,19.4
2018,19.6,19.5,19.6,19.6,19.7,19.9,20.0,20.4,20.5,20.9,21.7,22.2
2019,22.6,22.8,22.8,22.5,22.4,22.6,23.0,23.2,23.1,23.6,23.1,22.9
2020,23.3,23.0,22.9,20.7,21.0,20.9,20.8,20.7,20.7,20.3,20.1,20.7
2021,20.4,20.5,20.6,20.9,20.9,21.0,21.0,21.2,21.4,21.3,21.7,21.6
2022,21.4,21.4,21.3,21.3,21.2,21.3,21.2,21.0,21.1,21.2,21.5,21.5
2023,21.6,21.9,22.1,22.0,21.8,22.2,22.3,22.3,22.3,22.5,22.6,22.7
2024,23.2,23.2,22.9,23.0,22.3,22.3(P),,,,,,
