Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,3.8,3.7,3.7,3.7,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8
2015,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.7,3.7,3.8
2016,3.8,3.8,3.7,3.7,3.7,3.7,3.8,3.8,3.7,3.7,3.7,3.7
2017,3.7,3.7,3.7,3.7,3.7,3.6,3.7,3.7,3.7,3.6,3.6,3.7
2018,3.6,3.6,3.6,3.6,3.6,3.5,3.6,3.5,3.5,3.5,3.4,3.5
2019,3.4,3.4,3.4,3.4,3.4,3.5,3.5,3.5,3.4,3.4,3.4,3.4
2020,3.3,3.2,3.2,2.9,2.9,2.9,2.9,3.0,2.9,2.9,2.9,3.0
2021,2.9,2.9,2.9,2.9,2.9,3.0,2.9,3.0,2.9,3.0,3.0,3.0
2022,3.0,3.0,3.0,3.1,3.1,3.1,3.1,3.2,3.1,3.1,3.1,3.1
2023,3.2,3.1,3.2,3.1,3.2,3.2,3.1,3.2,3.2,3.2,3.2,3.1
2024,3.1,3.1,3.1,3.1,3.1,3.2(P),,,,,,
