Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,26.6,26.8,27.1,27.3,27.5,27.7,27.7,27.7,27.7,27.6,27.6,27.4
2015,27.0,26.5,25.8,25.0,24.3,23.7,23.5,23.2,22.9,22.6,21.7,21.3
2016,20.9,20.4,19.9,19.3,18.7,18.3,18.2,18.0,18.0,18.1,18.2,18.2
2017,18.3,18.7,19.0,19.4,19.8,19.9,19.9,19.9,20.1,20.2,20.3,20.4
2018,20.5,20.5,20.7,20.6,20.6,20.8,20.9,21.0,20.9,20.9,20.9,20.8
2019,21.0,21.0,21.1,21.1,21.1,21.4,20.8,20.8,20.8,20.6,20.3,20.2
2020,19.8,19.8,19.6,18.2,16.3,15.4,14.9,14.8,14.7,14.4,14.4,14.6
2021,14.2,14.3,14.4,14.6,14.7,14.9,15.0,15.0,15.0,15.2,15.4,15.3
2022,15.4,15.6,15.9,16.2,16.3,16.5,16.5,16.6,16.7,16.6,16.8,16.6
2023,16.9,17.0,17.2,17.3,17.3,17.3,17.3,17.2,17.1,16.9,16.7,16.6
2024,16.5,16.5,16.4,16.4,16.9,16.6(P),,,,,,
