Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,18.3,18.5,18.5,18.5,18.6,18.6,18.6,18.5,18.6,18.6,18.6,18.7
2015,18.7,18.7,18.6,18.6,18.6,18.5,18.6,18.6,18.7,18.4,18.6,18.3
2016,18.2,18.0,17.9,17.9,17.8,17.8,17.8,17.8,17.7,17.8,17.8,17.9
2017,18.2,18.1,18.2,18.0,18.0,18.0,18.1,18.2,18.2,18.2,18.1,18.2
2018,18.3,18.1,18.4,18.4,18.6,18.7,18.8,18.9,19.0,19.1,19.1,19.1
2019,18.9,19.2,19.2,19.1,19.2,19.3,19.3,19.4,19.3,19.3,19.1,19.0
2020,19.1,19.0,19.0,17.8,17.9,17.9,17.9,18.0,18.1,18.4,18.6,19.1
2021,19.1,19.3,19.5,19.3,19.6,19.6,19.7,19.7,19.8,19.9,20.1,20.2
2022,20.2,20.3,20.4,20.5,20.4,20.4,21.0,21.0,20.9,20.9,21.1,21.0
2023,21.2,21.4,21.5,21.7,21.8,21.8,21.9,21.9,21.9,21.7,21.9,21.4
2024,21.0,21.4,21.6,21.5,21.5,21.4(P),,,,,,
