Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,54.3,54.3,54.3,54.5,54.8,54.7,54.8,55.1,55.1,55.5,55.4,55.8
2015,56.0,56.1,56.3,56.2,56.0,55.8,55.6,55.7,55.5,55.4,55.4,55.3
2016,55.3,54.9,54.6,54.0,53.7,53.4,53.4,53.1,52.7,52.9,52.7,52.5
2017,52.2,52.1,51.9,51.8,52.0,52.0,52.3,52.4,52.3,51.7,51.8,51.7
2018,51.9,51.8,51.7,52.0,52.1,52.1,52.2,52.2,52.3,51.9,52.1,52.1
2019,52.0,52.2,52.1,52.3,52.1,52.1,52.0,52.0,51.9,52.0,51.7,51.7
2020,51.8,51.6,51.4,48.8,49.3,49.8,49.7,50.0,50.3,50.6,50.9,50.9
2021,50.8,51.0,51.1,51.0,51.2,51.0,51.0,51.1,51.0,51.7,51.8,51.9
2022,52.0,52.1,52.1,52.3,52.2,52.0,52.2,52.3,52.3,52.1,52.2,52.1
2023,52.4,52.2,52.3,52.4,52.3,52.5,52.5,52.4,52.6,52.6,53.0,52.7
2024,52.2,52.1,52.3,52.4,52.6,52.6(P),,,,,,
