Series ID,Year,Period,Label,Value
LASST250000000000003,2015,M01,2015 Jan,5.2
LASST250000000000003,2015,M02,2015 Feb,5.1
LASST250000000000003,2015,M03,2015 Mar,5.0
LASST250000000000003,2015,M04,2015 Apr,5.0
LASST250000000000003,2015,M05,2015 May,4.9
LASST250000000000003,2015,M06,2015 Jun,4.8
LASST250000000000003,2015,M07,2015 Jul,4.7
LASST250000000000003,2015,M08,2015 Aug,4.7
LASST250000000000003,2015,M09,2015 Sep,4.6
LASST250000000000003,2015,M10,2015 Oct,4.6
LASST250000000000003,2015,M11,2015 Nov,4.5
LASST250000000000003,2015,M12,2015 Dec,4.4
LASST250000000000003,2016,M01,2016 Jan,4.4
LASST250000000000003,2016,M02,2016 Feb,4.3
LASST250000000000003,2016,M03,2016 Mar,4.2
LASST250000000000003,2016,M04,2016 Apr,4.1
LASST250000000000003,2016,M05,2016 May,4.1
LASST250000000000003,2016,M06,2016 Jun,4.0
LASST250000000000003,2016,M07,2016 Jul,3.9
LASST250000000000003,2016,M08,2016 Aug,3.9
LASST250000000000003,2016,M09,2016 Sep,3.9
LASST250000000000003,2016,M10,2016 Oct,3.9
LASST250000000000003,2016,M11,2016 Nov,3.9
LASST250000000000003,2016,M12,2016 Dec,3.9
LASST250000000000003,2017,M01,2017 Jan,3.8
LASST250000000000003,2017,M02,2017 Feb,3.8
LASST250000000000003,2017,M03,2017 Mar,3.8
LASST250000000000003,2017,M04,2017 Apr,3.8
LASST250000000000003,2017,M05,2017 May,3.8
LASST250000000000003,2017,M06,2017 Jun,3.8
LASST250000000000003,2017,M07,2017 Jul,3.8
LASST250000000000003,2017,M08,2017 Aug,3.8
LASST250000000000003,2017,M09,2017 Sep,3.8
LASST250000000000003,2017,M10,2017 Oct,3.8
LASST250000000000003,2017,M11,2017 Nov,3.8
LASST250000000000003,2017,M12,2017 Dec,3.7
LASST250000000000003,2018,M01,2018 Jan,3.7
LASST250000000000003,2018,M02,2018 Feb,3.7
LASST250000000000003,2018,M03,2018 Mar,3.6
LASST250000000000003,2018,M04,2018 Apr,3.6
LASST250000000000003,2018,M05,2018 May,3.5
LASST250000000000003,2018,M06,2018 Jun,3.5
LASST250000000000003,2018,M07,2018 Jul,3.4
LASST250000000000003,2018,M08,2018 Aug,3.4
LASST250000000000003,2018,M09,2018 Sep,3.4
LASST250000000000003,2018,M10,2018 Oct,3.3
LASST250000000000003,2018,M11,2018 Nov,3.3
LASST250000000000003,2018,M12,2018 Dec,3.3
LASST250000000000003,2019,M01,2019 Jan,3.2
LASST250000000000003,2019,M02,2019 Feb,3.2
LASST250000000000003,2019,M03,2019 Mar,3.1
LASST250000000000003,2019,M04,2019 Apr,3.1
LASST250000000000003,2019,M05,2019 May,3.0
LASST250000000000003,2019,M06,2019 Jun,3.0
LASST250000000000003,2019,M07,2019 Jul,3.0
LASST250000000000003,2019,M08,2019 Aug,3.0
LASST250000000000003,2019,M09,2019 Sep,3.0
LASST250000000000003,2019,M10,2019 Oct,2.9
LASST250000000000003,2019,M11,2019 Nov,2.9
LASST250000000000003,2019,M12,2019 Dec,2.9
LASST250000000000003,2020,M01,2020 Jan,3.0
LASST250000000000003,2020,M02,2020 Feb,3.0
LASST250000000000003,2020,M03,2020 Mar,3.0
LASST250000000000003,2020,M04,2020 Apr,17.4
LASST250000000000003,2020,M05,2020 May,14.9
LASST250000000000003,2020,M06,2020 Jun,14.5
LASST250000000000003,2020,M07,2020 Jul,12.6
LASST250000000000003,2020,M08,2020 Aug,10.4
LASST250000000000003,2020,M09,2020 Sep,9.7
LASST250000000000003,2020,M10,2020 Oct,8.5
LASST250000000000003,2020,M11,2020 Nov,7.9
LASST250000000000003,2020,M12,2020 Dec,7.6
LASST250000000000003,2021,M01,2021 Jan,6.9
LASST250000000000003,2021,M02,2021 Feb,6.5
LASST250000000000003,2021,M03,2021 Mar,6.2
LASST250000000000003,2021,M04,2021 Apr,6.1
LASST250000000000003,2021,M05,2021 May,5.7
LASST250000000000003,2021,M06,2021 Jun,5.7
LASST250000000000003,2021,M07,2021 Jul,5.3
LASST250000000000003,2021,M08,2021 Aug,5.1
LASST250000000000003,2021,M09,2021 Sep,4.7
LASST250000000000003,2021,M10,2021 Oct,4.5
LASST250000000000003,2021,M11,2021 Nov,4.2
LASST250000000000003,2021,M12,2021 Dec,3.9
LASST250000000000003,2022,M01,2022 Jan,3.9
LASST250000000000003,2022,M02,2022 Feb,3.8
LASST250000000000003,2022,M03,2022 Mar,3.6
LASST250000000000003,2022,M04,2022 Apr,3.6
LASST250000000000003,2022,M05,2022 May,3.7
LASST250000000000003,2022,M06,2022 Jun,3.6
LASST250000000000003,2022,M07,2022 Jul,3.6
LASST250000000000003,2022,M08,2022 Aug,3.7
LASST250000000000003,2022,M09,2022 Sep,3.6
LASST250000000000003,2022,M10,2022 Oct,3.7
LASST250000000000003,2022,M11,2022 Nov,3.6
LASST250000000000003,2022,M12,2022 Dec,3.5
LASST250000000000003,2023,M01,2023 Jan,3.5
LASST250000000000003,2023,M02,2023 Feb,3.6
LASST250000000000003,2023,M03,2023 Mar,3.5
LASST250000000000003,2023,M04,2023 Apr,3.2
LASST250000000000003,2023,M05,2023 May,3.3
LASST250000000000003,2023,M06,2023 Jun,3.3
LASST250000000000003,2023,M07,2023 Jul,3.2
LASST250000000000003,2023,M08,2023 Aug,3.3
LASST250000000000003,2023,M09,2023 Sep,3.3
LASST250000000000003,2023,M10,2023 Oct,3.4
LASST250000000000003,2023,M11,2023 Nov,3.3
LASST250000000000003,2023,M12,2023 Dec,3.2
LASST250000000000003,2024,M01,2024 Jan,3.0
LASST250000000000003,2024,M02,2024 Feb,2.9
LASST250000000000003,2024,M03,2024 Mar,2.9
LASST250000000000003,2024,M04,2024 Apr,2.9
LASST250000000000003,2024,M05,2024 May,3.0
LASST250000000000003,2024,M06,2024 Jun,3.2
