Series ID,Year,Period,Label,Value
LASST720000000000003,2015,M01,2015 Jan,12.2
LASST720000000000003,2015,M02,2015 Feb,12.0
LASST720000000000003,2015,M03,2015 Mar,12.1
LASST720000000000003,2015,M04,2015 Apr,12.1
LASST720000000000003,2015,M05,2015 May,12.1
LASST720000000000003,2015,M06,2015 Jun,12.1
LASST720000000000003,2015,M07,2015 Jul,12.1
LASST720000000000003,2015,M08,2015 Aug,12.1
LASST720000000000003,2015,M09,2015 Sep,12.0
LASST720000000000003,2015,M10,2015 Oct,12.0
LASST720000000000003,2015,M11,2015 Nov,12.0
LASST720000000000003,2015,M12,2015 Dec,11.9
LASST720000000000003,2016,M01,2016 Jan,11.7
LASST720000000000003,2016,M02,2016 Feb,11.6
LASST720000000000003,2016,M03,2016 Mar,11.5
LASST720000000000003,2016,M04,2016 Apr,11.5
LASST720000000000003,2016,M05,2016 May,11.6
LASST720000000000003,2016,M06,2016 Jun,11.6
LASST720000000000003,2016,M07,2016 Jul,11.7
LASST720000000000003,2016,M08,2016 Aug,11.8
LASST720000000000003,2016,M09,2016 Sep,12.0
LASST720000000000003,2016,M10,2016 Oct,12.1
LASST720000000000003,2016,M11,2016 Nov,12.0
LASST720000000000003,2016,M12,2016 Dec,11.9
LASST720000000000003,2017,M01,2017 Jan,11.8
LASST720000000000003,2017,M02,2017 Feb,11.5
LASST720000000000003,2017,M03,2017 Mar,11.2
LASST720000000000003,2017,M04,2017 Apr,10.9
LASST720000000000003,2017,M05,2017 May,10.6
LASST720000000000003,2017,M06,2017 Jun,10.4
LASST720000000000003,2017,M07,2017 Jul,10.4
LASST720000000000003,2017,M08,2017 Aug,10.5
LASST720000000000003,2017,M09,2017 Sep,10.7
LASST720000000000003,2017,M10,2017 Oct,11.3
LASST720000000000003,2017,M11,2017 Nov,10.9
LASST720000000000003,2017,M12,2017 Dec,10.7
LASST720000000000003,2018,M01,2018 Jan,10.4
LASST720000000000003,2018,M02,2018 Feb,10.2
LASST720000000000003,2018,M03,2018 Mar,9.9
LASST720000000000003,2018,M04,2018 Apr,9.7
LASST720000000000003,2018,M05,2018 May,9.5
LASST720000000000003,2018,M06,2018 Jun,9.2
LASST720000000000003,2018,M07,2018 Jul,9.0
LASST720000000000003,2018,M08,2018 Aug,8.7
LASST720000000000003,2018,M09,2018 Sep,8.5
LASST720000000000003,2018,M10,2018 Oct,8.3
LASST720000000000003,2018,M11,2018 Nov,8.3
LASST720000000000003,2018,M12,2018 Dec,8.4
LASST720000000000003,2019,M01,2019 Jan,8.6
LASST720000000000003,2019,M02,2019 Feb,8.7
LASST720000000000003,2019,M03,2019 Mar,8.6
LASST720000000000003,2019,M04,2019 Apr,8.4
LASST720000000000003,2019,M05,2019 May,8.1
LASST720000000000003,2019,M06,2019 Jun,7.7
LASST720000000000003,2019,M07,2019 Jul,7.6
LASST720000000000003,2019,M08,2019 Aug,7.7
LASST720000000000003,2019,M09,2019 Sep,8.0
LASST720000000000003,2019,M10,2019 Oct,8.4
LASST720000000000003,2019,M11,2019 Nov,8.7
LASST720000000000003,2019,M12,2019 Dec,9.0
LASST720000000000003,2020,M01,2020 Jan,9.1
LASST720000000000003,2020,M02,2020 Feb,9.1
LASST720000000000003,2020,M03,2020 Mar,-
LASST720000000000003,2020,M04,2020 Apr,-
LASST720000000000003,2020,M05,2020 May,8.9
LASST720000000000003,2020,M06,2020 Jun,8.3
LASST720000000000003,2020,M07,2020 Jul,8.2
LASST720000000000003,2020,M08,2020 Aug,8.3
